wiff	wiff_bytes	scan_bytes
Blank_neg_01.wiff	2768896	156874072
Blank_neg_02.wiff	2736128	150983392
Blank_neg_03.wiff	2768896	141733396
Blank_pos_01.wiff	1822720	82188420
Blank_pos_02.wiff	1810432	84644500
Blank_pos_03.wiff	1826816	90891508
QC_neg_01.wiff	2183168	126725640
QC_neg_02.wiff	2195456	115208712
QC_neg_03.wiff	2277376	123519168
QC_pos_01.wiff	1839104	115920284
QC_pos_02.wiff	1839104	122864916
QC_pos_03.wiff	1822720	117627672
Sample_GroupA_neg_01.wiff	2224128	123159268
Sample_GroupA_neg_02.wiff	2269184	122736524
Sample_GroupA_neg_03.wiff	2256896	119561668
Sample_GroupA_pos_01.wiff	1822720	117863740
Sample_GroupA_pos_02.wiff	1822720	118891268
Sample_GroupA_pos_03.wiff	1794048	115889936
Sample_GroupC_neg_01.wiff	2428928	127041528
Sample_GroupC_neg_02.wiff	2437120	128093232
Sample_GroupC_neg_03.wiff	2469888	127675288
Sample_GroupC_pos_01.wiff	1826816	109636924
Sample_GroupC_pos_02.wiff	1839104	112299996
Sample_GroupC_pos_03.wiff	1810432	106441632
Sample_GroupD_neg_01.wiff	2199552	126185348
Sample_GroupD_neg_02.wiff	2256896	128650896
Sample_GroupD_neg_03.wiff	2260992	129843820
Sample_GroupD_pos_01.wiff	1835008	114830404
Sample_GroupD_pos_02.wiff	1814528	108838972
Sample_GroupD_pos_03.wiff	1843200	113121324
